Course,Term_Offered,Campus
ACCT1511,Summer Term 2019,"Main Campus, Kensington"
ACCT2101,Summer Term 2019,"Main Campus, Kensington"
ACCT2542,Summer Term 2019,"Main Campus, Kensington"
ACCT5908,Summer Term 2019,"Main Campus, Kensington"
ACCT5931,Summer Term 2019,"Main Campus, Kensington"
ACCT5942,Summer Term 2019,"Main Campus, Kensington"
ACCT5943,Summer Term 2019,"Main Campus, Kensington"
ACCT1501,Term 1 2019,"Main Campus, Kensington"
ACCT1511,Term 1 2019,"Main Campus, Kensington"
ACCT2101,Term 1 2019,"Main Campus, Kensington"
ACCT2522,Term 1 2019,"Main Campus, Kensington"
ACCT3202,Term 1 2019,"Main Campus, Kensington"
ACCT3303,Term 1 2019,"Main Campus, Kensington"
ACCT3563,Term 1 2019,"Main Campus, Kensington"
ACCT3583,Term 1 2019,"Main Campus, Kensington"
ACCT3610,Term 1 2019,"Main Campus, Kensington"
ACCT3708,Term 1 2019,"Main Campus, Kensington"
ACCT4794,Term 1 2019,"Main Campus, Kensington"
ACCT4809,Term 1 2019,"Main Campus, Kensington"
ACCT4852,Term 1 2019,"Main Campus, Kensington"
ACCT4897,Term 1 2019,"Main Campus, Kensington"
ACCT5000,Term 1 2019,"Main Campus, Kensington"
ACCT5001,Term 1 2019,"Main Campus, Kensington"
ACCT5906,Term 1 2019,"Main Campus, Kensington"
ACCT5907,Term 1 2019,"Main Campus, Kensington"
ACCT5908,Term 1 2019,"Main Campus, Kensington"
ACCT5909,Term 1 2019,"Main Campus, Kensington"
ACCT5910,Term 1 2019,"Main Campus, Kensington"
ACCT5920,Term 1 2019,"Main Campus, Kensington"
ACCT5930,Term 1 2019,"Main Campus, Kensington"
ACCT5931,Term 1 2019,"Main Campus, Kensington"
ACCT5952,Term 1 2019,"Main Campus, Kensington"
ACCT5967,Term 1 2019,"Main Campus, Kensington"
ACCT5994,Term 1 2019,"Main Campus, Kensington"
ACCT5996,Term 1 2019,"Main Campus, Kensington"
ACCT5997,Term 1 2019,"Main Campus, Kensington"
ACCT5998,Term 1 2019,"Main Campus, Kensington"
ACCT6001,Term 1 2019,"Main Campus, Kensington"
ACCT8691,Term 1 2019,"Main Campus, Kensington"
ACCT1501,Term 2 2019,"Main Campus, Kensington"
ACCT1511,Term 2 2019,"Main Campus, Kensington"
ACCT2542,Term 2 2019,"Main Campus, Kensington"
ACCT3202,Term 2 2019,"Main Campus, Kensington"
ACCT3303,Term 2 2019,"Main Campus, Kensington"
ACCT3610,Term 2 2019,"Main Campus, Kensington"
ACCT4794,Term 2 2019,"Main Campus, Kensington"
ACCT4851,Term 2 2019,"Main Campus, Kensington"
ACCT5000,Term 2 2019,"Main Campus, Kensington"
ACCT5001,Term 2 2019,"Main Campus, Kensington"
ACCT5906,Term 2 2019,"Main Campus, Kensington"
ACCT5910,Term 2 2019,"Main Campus, Kensington"
ACCT5914,Term 2 2019,"Main Campus, Kensington"
ACCT5919,Term 2 2019,"Main Campus, Kensington"
ACCT5922,Term 2 2019,"Main Campus, Kensington"
ACCT5925,Term 2 2019,"Main Campus, Kensington"
ACCT5930,Term 2 2019,"Main Campus, Kensington"
ACCT5942,Term 2 2019,"Main Campus, Kensington"
ACCT5943,Term 2 2019,"Main Campus, Kensington"
ACCT5949,Term 2 2019,"Main Campus, Kensington"
ACCT5951,Term 2 2019,"Main Campus, Kensington"
ACCT5961,Term 2 2019,"Main Campus, Kensington"
ACCT5967,Term 2 2019,"Main Campus, Kensington"
ACCT5994,Term 2 2019,"Main Campus, Kensington"
ACCT5998,Term 2 2019,"Main Campus, Kensington"
ACCT6001,Term 2 2019,"Main Campus, Kensington"
ACCT8691,Term 2 2019,"Main Campus, Kensington"
ACCT1501,Term 3 2019,"Main Campus, Kensington"
ACCT2507,Term 3 2019,"Main Campus, Kensington"
ACCT3303,Term 3 2019,"Main Campus, Kensington"
ACCT3563,Term 3 2019,"Main Campus, Kensington"
ACCT3583,Term 3 2019,"Main Campus, Kensington"
ACCT3601,Term 3 2019,"Main Campus, Kensington"
ACCT3625,Term 3 2019,"Main Campus, Kensington"
ACCT3708,Term 3 2019,"Main Campus, Kensington"
ACCT4794,Term 3 2019,"Main Campus, Kensington"
ACCT5000,Term 3 2019,"Main Campus, Kensington"
ACCT5001,Term 3 2019,"Main Campus, Kensington"
ACCT5907,Term 3 2019,"Main Campus, Kensington"
ACCT5908,Term 3 2019,"Main Campus, Kensington"
ACCT5919,Term 3 2019,"Main Campus, Kensington"
ACCT5930,Term 3 2019,"Main Campus, Kensington"
ACCT5931,Term 3 2019,"Main Campus, Kensington"
ACCT5942,Term 3 2019,"Main Campus, Kensington"
ACCT5943,Term 3 2019,"Main Campus, Kensington"
ACCT5949,Term 3 2019,"Main Campus, Kensington"
ACCT5955,Term 3 2019,"Main Campus, Kensington"
ACCT5961,Term 3 2019,"Main Campus, Kensington"
ACCT5967,Term 3 2019,"Main Campus, Kensington"
ACCT5972,Term 3 2019,"Main Campus, Kensington"
ACCT5994,Term 3 2019,"Main Campus, Kensington"
ACCT5996,Term 3 2019,"Main Campus, Kensington"
ACCT5998,Term 3 2019,"Main Campus, Kensington"
ACCT6001,Term 3 2019,"Main Campus, Kensington"
ACCT8691,Term 3 2019,"Main Campus, Kensington"
ACTL2101,Summer Term 2019,"Main Campus, Kensington"
ACTL2101,Term 1 2019,"Main Campus, Kensington"
ACTL2111,Term 1 2019,"Main Campus, Kensington"
ACTL2131,Term 1 2019,"Main Campus, Kensington"
ACTL3141,Term 1 2019,"Main Campus, Kensington"
ACTL3151,Term 1 2019,"Main Campus, Kensington"
ACTL3191,Term 1 2019,"Main Campus, Kensington"
ACTL3202,Term 1 2019,"Main Campus, Kensington"
ACTL4000,Term 1 2019,"Main Campus, Kensington"
ACTL4001,Term 1 2019,"Main Campus, Kensington"
ACTL5000,Term 1 2019,"Main Campus, Kensington"
ACTL5001,Term 1 2019,"Main Campus, Kensington"
ACTL5002,Term 1 2019,"Main Campus, Kensington"
ACTL5004,Term 1 2019,"Main Campus, Kensington"
ACTL5100,Term 1 2019,"Main Campus, Kensington"
ACTL5101,Term 1 2019,"Main Campus, Kensington"
ACTL5102,Term 1 2019,"Main Campus, Kensington"
ACTL5104,Term 1 2019,"Main Campus, Kensington"
ACTL5105,Term 1 2019,"Main Campus, Kensington"
ACTL2100,Term 2 2019,"Main Campus, Kensington"
ACTL2102,Term 2 2019,"Main Campus, Kensington"
ACTL3142,Term 2 2019,"Main Campus, Kensington"
ACTL3202,Term 2 2019,"Main Campus, Kensington"
