Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
OBST9002,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
OBST9003,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
OBST9004,"Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
OPTM0001,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
OPTM0002,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
OPTM2133,Term 3 2019,"Main Campus, Kensington",1,0,"This course will demand that you extend and apply the basic optics and visual optics studied thus far into real world scenarios.  This will be achieved through hands-on experiences as well as further theoretical studies.  As its name implies, 'The Clinical Environment' will introduce you to the key players in the consulting room and the interrelationships that drive successful clinical outcomes.  
You will be challenged to recognise the range of people seeking eye care, including those with vision impairment, and the effects that your personal communications skills and reflective practice have upon their welfare.  You will be confronted with commonly used tools that evaluate oculo-visual status and learn how these can be used strategically to enhance our understanding of the patient and how they operate within their home/work environment.  At the same time, the course is designed to augment your studies in Ocular Anatomy and Physiology.  Spectacles are a common outcome of an eye examination: you will learn the impact of this need upon the person and how lack of access to spectacles places an enormous burden on an individual and their community, particularly in developing countries.  During this course your preparedness to take on social responsibility and global citizenship will be piqued.  Most importantly, your capability to self-audit, to solve problems and to work either independently or as part of a team will be developed.","Prerequisite: VISN1111&VISN1221;&VISN1101;
Corequisite: VISN2111 Exclusion: OPTM2190",6 Units of Credit
OPTM2233,Term 2 2019,"Main Campus, Kensington",1,0,"This course will build upon knowledge of geometric and physical optics and extend that knowledge to the practical application of optical dispensing. This course will be delivered by lectures, practical classes and self-directed learning.  Brief curriculum: Focimetry, inter-pupillary distance, lens types and categorization, lens materials and coatings, lens measurements, interpreting a prescription, transposition, prism, frame types, frame selection and adjustment, lens grinding and mounting to frames, and optical considerations of lens prescribing.",Prerequisite: VISN1111 and VISN1221,6 Units of Credit
OPTM3105,Term 1 2019,"Main Campus, Kensington",1,0,"This course provides an introduction to the underlying processes that lead to the development of disease in the ocular system. The role of microorganisms in the development of infection, of the immune system in the development of inflammation and autoimmunity, and of genetic predispositions leading the inherited diseases will be discussed to provide a foundation in disease pathophysiology. This course will also present diseases which affect the eye and associated structures with regards to their underlying pathophysiology leading to the clinical presentation. Students will become versed with appropriate medical terminology to accurately describe the signs and symptoms of diseases, and develop their ability to conduct differential diagnosis by integrating case presentations with epidemiological knowledge.",Prerequisite: VISN2111,6 Units of Credit
OPTM3111,Summer Term 2019,"Main Campus, Kensington",1,0,"Objectives: To build upon the previous clinical optometry courses and add binocular vision analysis and consideration of environmental factors in primary care case analysis. One focus of this course will be to give students the ability to detect, diagnose and treat nonstrabismic binocular anomalies. The other focus of the course is to impart an understanding of the impact of environmental factors on the eye and visual system, leading to an ability to manage environmentally produced ocular and visual problems. Both strands will involve lectures, practical and/or tutorial classes and self-directed learning.  Brief curriculum: Binocular vision: sensory and motor aspects of binocular vision, introduction to binocular vision anomalies and methods of their analysis, accommodation/convergence imbalances and treatment. Environmental optometry: optometrical aspects of occupational health and safety; ocular and visual factors in the workplace, visual ergonomics, visual standards, lighting design, screen-based equipment user.","Prerequisites: VISN2111 and VISN2211 and (OPTM2291 or OPTM2211); 
Corequisite: VISN3111",6 Units of Credit
OPTM3133,Term 2 2019,"Main Campus, Kensington",1,0,"This course will build upon your experiences in OPTM2133 The Clinical Environment and complete your learning of the basic principles of assessing cranial nerves, assessing the refractive and accommodative status of the eye and clinical dispensing. This course will be delivered by lectures, tutorials, practical classes and self-directed learning.  Brief curriculum: cranial nerve assessment, retinoscopy, basic refraction activities, investigating accommodation and binocular vision testing procedures.",Prerequisite: OPTM2133,6 Units of Credit
OPTM3201,Term 3 2019,"Main Campus, Kensington",1,0,"The first two years of the vision science course provided students with a strong foundation in optics, perceptual systems and the psychophysical principles of vision science. In this course, students will learn to apply their foundation knowledge for solving real-world problems important to optometry, ophthalmology and vision science. Students will learn to undertake lighting evaluation supported by the resources of a fully functioning lighting measurement laboratory. Principles of lens design will be introduced to students who will learn ways of minimising common optical aberrations of importance in optical dispensing. In the ocular imaging component of this course, foundation knowledge in anatomy, physiology and optical imaging skills will be applied to strengthen understanding of how ophthalmic structure can be imaged to infer visual function. Students will also learn how image analysis routines can be implemented in software to enhance image structure for the objective and subjective assessment of visual function. These skills are important for understanding the research and development lifecycle of ophthalmic imaging which is of benefit to technicians and clinicians such as optometrists and orthoptists.
Note:  VISN3111 is assumed knowledge for this course.",Prerequisite: VISN2111,6 Units of Credit
OPTM3205,Term 2 2019,"Main Campus, Kensington",1,0,"This course provides an overview of disease processes with particular application to the pathophysiology, epidemiology and clinical features of eye diseases. It follows on from OPTM3105 and will cover metabolic, degenerative, inherited, developmental and inflammatory ocular disease as well as neoplasia. Participants will gain an understanding of the pathological processes underlying disease as well as a solid knowledge of the epidemiology, signs symptoms and clinical presentation of ocular disease. This will equip students with the knowledge necessary for differentially diagnosing ocular disease.",Prerequisite: OPTM3105 Exclusion: OPTM3231,6 Units of Credit
