Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
ACCT1501,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,"The compulsory core accounting unit will have a preparer perspective. It will provide an introduction to basic concepts in accounting and their application for decision making by a wide range of potential users (e.g., shareholders, investment analysts, lenders, managers etc). This unit should benefit students who wish to specialise in accounting, and will also be of value to students whose primary interest lies elsewhere in the field of business.
On completion, students should have a clear understanding of the accounting process and the language of accounting to enable communication with an accounting professional, understand the relevance of accounting information for informed decision making by a wide range of potential users, and have the ability to analyse and interpret accounting information. Topics covered will include the accounting equation, general purpose financial reports, cash and accrual accounting, adjustments, internal control, financial statement analysis, and interpreting and preparing information for managers to use in planning, decision making and control.",Only available to the Business School single and double degree students in term 1. It will be offered to non Business School students in term 2.,6 Units of Credit
ACCT1511,"Summer Term 2019, Term 1 2019, Term 2 2019","Main Campus, Kensington",1,0,"Taken together, the accounting course in the compulsory core (ACCT1501) and this accounting course form an integrated study program designed to give students an understanding of the way in which financial information is generated and used, and to provide an appropriate platform for further study in accounting. On completion the first year accounting courses seek to develop students’: technical competence in recording economic events in the accounting system; a critical understanding of key technical terms and concepts so as to interpret accounting information and reports in the financial press; an ability to argue a reasoned position on key questions of accounting theory and practice; and familiarity with institutional structures that affect the practice of accounting. Topics covered in this course will include accounting for non-current assets and liabilities, revenues and expenses, balance sheet and income statement preparation, cash flow statements, ratio analysis, accounting policy choice and further detail on management accounting (including costing systems and budgeting).",Prerequisite: ACCT1501,6 Units of Credit
ACCT2101,"Summer Term 2019, Term 1 2019","Main Campus, Kensington",1,0,"This course provides scholars with a practical application of the fundamental principles of accounting in an industry environment. This course is only available to Accounting, UNSW Business School Co-op Scholars who are enrolled in the BCom(Coop).",Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),12 Units of Credit
ACCT2507,Term 3 2019,"Main Campus, Kensington",1,0,"This course provides an introduction to accounting research. The course is designed to introduce students to the methodologies and their application in management accounting, financial accounting, and auditing research. While ACCT2507 is not a pre-requisite for the undergraduate Accounting Honours program, it is highly recommended.",Prerequisite:ACCT1511 and a mark of 80 or higher.,6 Units of Credit
ACCT2522,Term 1 2019,"Main Campus, Kensington",1,0,"This course examines management accounting practices directed towards the effective use of organisational resources and focuses on three interrelated themes: first, the design and operation of management accounting systems for planning and control; second, the role of management accounting practices in supporting effective resource management and process improvement; and, third, the manner in which these practices affect and are affected by human processes within organisations. We aim to encourage critical thinking about such issues, and to improve students' abilities to address these with confidence and creativity in a professional and work-based context. The course draws upon business practice, contemporary and international research, case studies, and the applied research experiences of course participants.",Prerequisite: ACCT1511,6 Units of Credit
ACCT2542,"Summer Term 2019, Term 2 2019","Main Campus, Kensington",1,0,"This intermediate financial accounting course is intended for students who will be involved in the preparation or use of corporate financial reports whether as accountants, financial executives, auditors, financial analysts, actuaries or legal advisors. This course builds on the foundation laid in ACCT1501 and ACCT1511 and covers financial reporting on, and analysis of, more complex business transactions, events and structures. Topics include, accounting for various types of equity investments such as subsidiaries, associates and joint ventures, tax effect accounting, disclosure issues and understanding the regulatory environment in which financial statements are prepared.",Prerequisite: ACCT1511,6 Units of Credit
ACCT3202,"Term 1 2019, Term 2 2019","Main Campus, Kensington",1,0,"This course provides scholars with a practical application of the fundamental principles of accounting in an industry environment.
Note: Only available to Accounting,  UNSW Business School Co-op Scholars.",Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),6 Units of Credit
ACCT3303,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,"It is the third of three fully assessable Industry Training courses Co-op Scholars complete as part of their Bachelor of Commerce (Co-op) degree. It allows scholars to apply the fundamental principles of accounting and business management to accounting practices in their sponsoring organisation.
Note: Only available to Accounting, UNSW Business School Co-op Scholars.",Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),6 Units of Credit
ACCT3563,"Term 1 2019, Term 3 2019","Main Campus, Kensington",1,0,"Building on the foundation laid in ACCT2542, this course covers controversial issues in financial reporting, for example leases, sharebased payments, extractive industries, biological assets,foreign currency transactions, diversified operations, and derivative financial instruments. The course also covers topical issues related to the scope and quality of financial reports. Examples include environmental reporting, and the impact of cultural differences on accounting. Students are required use relevant accounting standards, accounting theories, and ethical theories to address particular accounting issues.",Prerequisite:ACCT2542,6 Units of Credit
ACCT3583,"Term 1 2019, Term 3 2019","Main Campus, Kensington",1,0,"This course is concerned with the ways in which tangible and intangible resources are combined and leveraged in order to deliver stakeholder value in contemporary organisations. The ways in which these resources are managed affect the ability of organisations to deliver value to various stakeholders, such as shareholders, customers, employees, suppliers, the community and the natural environment, both in the short and long-terms. A challenge for organisations is to achieve a balance between these different forms of stakeholder value in the present and the future. This course examines how advanced management accounting practices may constrain and enable processes of creating, managing and measuring stakeholder value. The course will draw upon a variety of readings and cases to explore these issues.",Prerequisite: ACCT2522,6 Units of Credit
ACCT3601,Term 3 2019,"Main Campus, Kensington",1,0,"With the increasing globalisation of business and capital markets, there is a more extensive use of cross-border financial information.  This course considers the key issues in international financial reporting and analysis.  Topics include: the types of differences in national financial reporting practices; the reasons for the differences; the progress of the International Accounting Standards Board in reducing the diversity; foreign exchange risk and foreign currency accounting issues; reporting and disclosure in developed countries including the USA, Japan and the members of the European Union; the role of accounting in developing countries and Eastern Europe; financial reporting in emerging capital markets including those in the Asia-Pacific region; and analysis of country-specific financial statements in the cultural, business and legal context of each country.  Numerical examples and cases are used to highlight important concepts and issues.",Prerequisite: ACCT2542,6 Units of Credit
ACCT3610,"Term 1 2019, Term 2 2019","Main Campus, Kensington",1,0,"This course is about the analysis of financial information arising primarily from the financial reports of entities. Fundamental analysis techniques are examined in detail with particular emphasis on the application of these techniques in equity (share) valuation decisions. Some attention is also given to credit assessment and debt valuation decisions. The techniques are applied in cases and projects involving listed companies. Topics considered include fundamental ratio analysis using reported and ' off-balance sheet' information,an analysis of accrual accounting and cash flows, the analysis of profitability, growth and valuation generation in a firm, determining the quality of financial reports, forecasting earnings and cash flows, pro-forma analysis for strategy and planning, analysis of risk, and a comparison of alternative valuation models.",Prerequisite: ACCT2542 and FINS1613,6 Units of Credit
ACCT3625,Term 3 2019,"Main Campus, Kensington",1,0,"This course is concerned with how organisations create and preserve value over time employing effective business models and a broader range of resources (capitals) than in conventional analyses.  This value creation process is currently being reported upon under the international initiative of Integrated Reporting <IR>, incorporating Integrated Thinking, which is enhancing the way organizations think holistically, plan strategically and report value outcomes.  Integrated Thinking focuses on how executives make business decisions that best utilise all their available resources and relationships (not just financial but including their staff, intellectual property, environmental, and supplier and customer relationships) to implement a strategy for long term value creation. Integrated Reporting then focuses on how they communicate (both internally and to external stakeholders) their unique value creation story, in order to address the question, “Why should I, or others in society, support this organisation?”  The course is designed to be highly interactive with many illustrations and cases.
Topics include: The drivers behind the development of the International Framework; creating value over time with Integrated Thinking; and implementation including the design of an internal management system geared to value management rather than traditional financial management.
Acknowledgement is made of the significant contributions of Integrated Reporting Education Australia and the IIRC in developing and presenting the course.",No Prerequisites,6 Units of Credit
ACCT3708,"Term 1 2019, Term 3 2019","Main Campus, Kensington",1,0,"This course examines the practice of auditing and the underlying concepts, auditors responsibilities and the audit environment. Although the focus of attention is on audits carried out under the provisions of the Corporations Law, reference is also made to other forms of audit. The course is intended to provide an overview of the audit process as it exists in Australia. Both CIS and computer-assisted audit techniques are an integral part of this course.",Prerequisite: ACCT2542 or approval from the School,6 Units of Credit
ACCT4794,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
ACCT4809,Term 1 2019,"Main Campus, Kensington",1,0,An examination of current areas of research in auditing and substantive studies in each area. The following topics will be considered: theory about auditing; overview of audit research; nature of audit work; agency theory and the existence of the audit function; human information processing in auditing; audit teams and the review process; experience and expertise; independence; audit fees and other service fees; effect of the audit report; and future development in audit theory and research.,Prerequisite: Must be enrolled in program 4501 (Accounting),6 Units of Credit
ACCT4851,Term 2 2019,"Main Campus, Kensington",1,0,"Review of alternative approaches to the development of theories in external reporting. Explication and evaluation of substantive theories and associated research studies. Examination of research findings related to the accounting and reporting environment, agency cost and financial contracting, the properties of reported accounting numbers, predictive value of accounting information, the use of information in capital markets, and the use of accounting reports by individual decision makers.",Prerequisite: Must be enrolled in program 4501 (Accounting),6 Units of Credit
ACCT4852,Term 1 2019,"Main Campus, Kensington",1,0,"The aim of this course is to equip students with a comprehensive understanding of contemporary management accounting research, which emanates from different philosophical perspectives and employs different theories and research methods. Research is divided into two broad streams: work that seeks (a) to explain and design, and (b) to understand and interpret the practice of management accounting in organisational societies. Topics covered include design approaches using behavioural decision theory, contingency theory, institutional theory, and others and interpretive approaches using symbolic interactionism and theories of culture. There is also brief coverage of national differences in management accounting practice and of critical analyses of the development and operation of management accounting systems.",Prerequisite: Must be enrolled in program 4501 (Accounting),6 Units of Credit
ACCT4897,Term 1 2019,"Main Campus, Kensington",1,0,To assist BCom Hons students in completion of research project requirement. May consist of an examinable readings program defined to meet the needs of a particular student or a formal program undertaken by a group of students whose research projects are in a common area.,Prerequisite: Must be enrolled in program 4501 (Accounting),6 Units of Credit
ACCT5000,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
ACCT5001,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
ACCT5906,"Term 1 2019, Term 2 2019","Main Campus, Kensington",0,1,"This course introduces accounting as the language of business and as a tool to be used by managers within the organisation and by external parties including shareholders and creditors.
Making sound business decisions depends on the evaluation and analysis of information. Given the frequent expression of information in monetary terms, financial literacy is a key element in creating value or identifying value opportunities in business.",No Prerequisites,6 Units of Credit
ACCT5907,"Term 1 2019, Term 3 2019","Main Campus, Kensington",0,1,"This course introduces the analytical tools used in the analysis of financial statements. It extends beyond the accounting process to enable students to identify and understand the economic reality behind the accounting numbers used in financial statements. Focusing on real world examples, the quality of financial statement information is comprehensively examined to detect and correct any distortions necessary to improve the economic content of the financial statements, including their comparability. Quantitative analytical tools are then used to conduct detailed financial analysis of corporate profitability and risk. The accounting and financial analysis skills acquired in the course are essential in making successful decisions in numerous business contexts, including: the evaluation of financial performance, the identification of sources of value creation, risk and credit assessment, and in assessing the achievement of financial targets and strategic goals. Relevant topics include: the national and international framework for financial accounting; the accrual concept and earnings quality; integrated ratio analysis; analyses of more complex accounting issues involving inventories, long-lived assets, income taxes, financing liabilities, leases and off-balance sheet activities, stock compensations, pensions and other employee benefits, inter-corporate investments, business combinations and multinational operations.",Prerequisite: ACCT5930,6 Units of Credit
ACCT5908,"Summer Term 2019, Term 1 2019, Term 3 2019","Main Campus, Kensington",0,1,"This course examines the practice of auditing, the underlying concepts, auditors’ responsibilities and the audit environment. Although the focus of attention is on audits carried out under the provisions of the Corporations Law, reference is also made to other assurance and related non-assurance services. The course is intended to provide an overview of the audit process as it exists in Australia and internationally. Focus is on both the conduct of the audit (as an auditor) and interaction with the audit function (as a member of the business community). Topics include: risk based auditing approach; assessment of risk; development of audit strategy; internal control evaluation and compliance testing; substantive testing; analytical review; auditing in an information technology environment; audit sampling; audit reporting; contractual and common law duties; the critical role of ethics; and an introduction to other assurance and related non-assurance services.",Prerequisite: ACCT5942,6 Units of Credit
ACCT5909,Term 1 2019,"Main Campus, Kensington",0,1,An examination of current areas of research in auditing and substantive studies in each area. The following topics will be considered: theory about auditing; overview of audit research; nature of audit work; agency theory and the existence of the audit function; human information processing in auditing; audit teams and the review process; experience and expertise; independence; audit fees and other service fees; effect of the audit report; and future development in audit theory & research.,No Prerequisites,6 Units of Credit
ACCT5910,"Term 1 2019, Term 2 2019","Main Campus, Kensington",0,1,"Note: Not available to students who have completed ACCT3610 in the last three years.
This course examines the: sources of information available to analysts; traditional ratio analysis; application of techniques of financial analysis to equity valuation; credit assessment; and price regulation. Also looked at are: calculations of key indicators of financial performance; issues arising from international differences in accounting standards and practices; off-balance sheet financing and financial instruments; problems arising from complex organisational structures; and strategies for managing the financial analysis function.",Prerequisite: (ACCT5930 or ACCT5906) and (FINS5511 or FINS5513 or FINS5514) or (enrolment in program 8406),6 Units of Credit
ACCT5914,Term 2 2019,"Main Campus, Kensington",0,1,"Formulating and implementing strategy depends on a thorough understanding of all aspects of an organisation; making sound business decisions requires advanced management accounting knowledge including both financial and strategic analysis. This course uses relevant, globally focused business cases for students to learn how management accountants formulate and effectively implement strategy while managing risk, using the competencies gained in earlier management accounting courses. Integrating research and practice, this advanced course is designed to equip students with relevant management accounting skills that will enable them to influence strategic decisions and manage performance. Topics include interacting with the competitive environment, understanding the business partner role of management accountants in change management, evaluating strategic options using leading management accounting techniques, and implementing strategic plans via performance management systems.",Prerequisite: ACCT5931,6 Units of Credit
ACCT5919,"Term 2 2019, Term 3 2019","Main Campus, Kensington",0,1,"In a rapidly changing global world, with decreasing product life cycles and increasing customer and societal expectations, there are significant and increased risks associated with ongoing value creation by organisations. In this world, value is put at risk - by competition, or failures of corporate leadership, strategies, processes, and capabilities. Developing effective ways of managing such Business Risks is proving to be a central agenda item for organisations seeking continuing success. This course addresses this emergent field conceptually, technically and speculatively. Case studies and research reports are used throughout.",Prerequisite or Corequisite: ACCT5930 or COMM5003 or ACCT5906,6 Units of Credit
